Product Name,Model,Price,Quantity,Status,Image,Description
0.25 kg BTC Purity 999.9,ربع كيلو اماراتي نقاوة 999.9,17.0000,5,,,
0.25 Kg BTC Round Purity 999.9,ربع كيلو اماراتي دائري نقاوة 999.9 BTC,20.0000,5,,,
0.25 kg Minted Purity 999.9,ربع كيلو سويسري مغلف نقاوة 999.9,25.0000,10,,,
0.25 kg Suisse Lady Fortuna -Without Box,ربع كيلو سويسري فورتونا -العروسة,195.0000,1,,,
0.5 kg BTC Purity 999.9,نص كيلو اماراتي نقاوة 999.9,20.0000,5,,,
0.5 kg Minted Purity 999.9,0.5 kg Minted Purity 999.9,35.0000,1,,,
1 gram Purity 999.9,سويسري 1 جرام نقاوة 999.9,4.5000,100,,,
1 gram Suisse Lady Fortuna,سبيكة 1 جرام سويسري فورتونا -العروسة,9.0000,100,,,
1 Kg BTC Purity 999.9,كيلو اماراتي نقاوة 999.9,0.0100,5,,,
1 Kg BTC Round Purity 999.9,1 Kg BTC Purity 999.9,44.0000,5,,,
1 kg Minted Purity 999.9,كيلو سويسري مغلف نقاوة 999.9,105.0000,10,,,
1/2 Lera 22 Karat,نص ليرة عثمانية عيار 22,2.7500,100,,,
1/2 Mukammas 22 Karat,نص مخمس عثمانية عيار 22,9.2500,100,,,
1/4 Lera 22 Karat,ربع ليرة عثمانية عيار 22,3.1000,100,,,
"10 gram BTC ""I LOVE YOU"" Purity 999.9","10 gram BTC ""I LOVE YOU"" Purity 999.9",25.5000,50,,,
10 gram BTC Purity 999.9,سبيكة 10 جرام عيار 24 نقاوة 999.9,6.0000,50,,,
10 gram BTC-Bab Al Kaaba Purity 999.9,"سبيكة باب الكعبة 10 جرام بي تي سي عيار 24 نقاوة 999,9",25.5000,0,,,
10 gram BTC-Falcon Purity 999.9,"سبيكة الصقر 10 جرام بي تي سي عيار 24 نقاوة 999,9",25.5000,50,,,
10 gram BTC-Kuwait Towers Purity 999.9,"سبيكة أبراج الكويت 10 جرام بي تي سي عيار 24 نقاوة 999,9",25.5000,0,,,
10 gram Purity 999.9,سويسري 10 جرام نقاوة 999.9,8.0000,100,,,
10 gram Suisse Lady Fortuna,سبيكة 10 جرام سويسري فورتونا العروسة,29.0000,100,,,
10 Tola BTC Purity 999,عشرة توله امارتي نقاوه 999,9.0000,1,,,
100 gram BTC Purity 999.9,سبيكة 100 جرام عيار 24 نقاوة 999.9,10.5000,50,,,
100 gram Purity 999.9,سويسري 100 جرام نقاوة 999.9,13.0000,100,,,
2.5 gram BTC-Bab Al Kaaba Purity 999.9,"سبيكة باب الكعبة 2.5 جرام بي تي سي عيار 24 نقاوة 999,9",10.2500,0,,,
2.5 gram BTC-Falcon Purity 999.9,"سبيكة الصقر 2.5 جرام بي تي سي عيار 24 نقاوة 999,9",10.2500,0,,,
2.5 gram BTC-Kuwait Towers Purity 999.9,2.5 gram BTC-Kuwait Towers Purity 999.9,10.2500,0,,,
2.5 gram BTC-Watany Al Kuwait Purity 999.9,"سبيكة (وطني الكويت) 2.5 جرام بي تي سي عيار 24 نقاوة 999,9",10.2500,0,,,
2.5 gram Purity 999.9,2.5 gram Purity 999.9,5.5000,99,,,
